棋戦,期,年度,優勝者,勝,敗,相手
十段戦,26,1987,高橋道雄,4,0,福崎文吾
十段戦,25,1986,福崎文吾,4,2,米長邦雄
十段戦,24,1985,米長邦雄,4,3,中原誠
十段戦,23,1984,米長邦雄,4,3,中原誠
十段戦,22,1983,中原誠,4,2,桐山清澄
十段戦,21,1982,中原誠,4,2,加藤一二三
十段戦,20,1981,加藤一二三,4,2,米長邦雄
十段戦,19,1980,加藤一二三,4,1,中原誠
十段戦,18,1979,中原誠,4,1,米長邦雄
十段戦,17,1978,中原誠,4,3,米長邦雄
十段戦,16,1977,中原誠,4,3,加藤一二三
十段戦,15,1976,中原誠,4,3,加藤一二三
十段戦,14,1975,中原誠,4,1,大山康晴
十段戦,13,1974,大山康晴,4,3,中原誠
十段戦,12,1973,中原誠,4,1,大山康晴
十段戦,11,1972,中原誠,4,1,大山康晴
十段戦,10,1971,中原誠,4,2,大山康晴
十段戦,9,1970,中原誠,4,2,大山康晴
十段戦,8,1969,大山康晴,4,2,加藤一二三
十段戦,7,1968,加藤一二三,4,3,大山康晴
十段戦,6,1967,大山康晴,4,1,二上達也
十段戦,5,1966,大山康晴,4,1,二上達也
十段戦,4,1965,大山康晴,4,3,二上達也
十段戦,3,1964,大山康晴,4,2,升田幸三
十段戦,2,1963,大山康晴,4,3,升田幸三
十段戦,1,1962,大山康晴,4,3,升田幸三
