棋戦,期,年度,優勝者,勝,敗,相手
棋王戦,51,2025,,0,0,
棋王戦,50,2024,藤井聡太,3,0,増田康宏
棋王戦,49,2023,藤井聡太,3,0,伊藤匠
棋王戦,48,2022,藤井聡太,3,1,渡辺明
棋王戦,47,2021,渡辺明,3,1,永瀬拓矢
棋王戦,46,2020,渡辺明,3,1,糸谷哲郎
棋王戦,45,2019,渡辺明,3,1,本田奎
棋王戦,44,2018,渡辺明,3,1,広瀬章人
棋王戦,43,2017,渡辺明,3,2,永瀬拓矢
棋王戦,42,2016,渡辺明,3,2,千田翔太
棋王戦,41,2015,渡辺明,3,1,佐藤天彦
棋王戦,40,2014,渡辺明,3,0,羽生善治
棋王戦,39,2013,渡辺明,3,0,三浦弘行
棋王戦,38,2012,渡辺明,3,1,郷田真隆
棋王戦,37,2011,郷田真隆,3,1,久保利明
棋王戦,36,2010,久保利明,3,1,渡辺明
棋王戦,35,2009,久保利明,3,2,佐藤康光
棋王戦,34,2008,久保利明,3,2,佐藤康光
棋王戦,33,2007,佐藤康光,3,2,羽生善治
棋王戦,32,2006,佐藤康光,3,2,森内俊之
棋王戦,31,2005,森内俊之,3,1,羽生善治
棋王戦,30,2004,羽生善治,3,0,谷川浩司
棋王戦,29,2003,谷川浩司,3,1,丸山忠久
棋王戦,28,2002,丸山忠久,3,2,羽生善治
棋王戦,27,2001,羽生善治,3,1,佐藤康光
棋王戦,26,2000,羽生善治,3,1,久保利明
棋王戦,25,1999,羽生善治,3,1,森内俊之
棋王戦,24,1998,羽生善治,3,0,佐藤康光
棋王戦,23,1997,羽生善治,3,1,郷田真隆
棋王戦,22,1996,羽生善治,3,0,森下卓
棋王戦,21,1995,羽生善治,3,0,高橋道雄
棋王戦,20,1994,羽生善治,3,0,森下卓
棋王戦,19,1993,羽生善治,3,0,南芳一
棋王戦,18,1992,羽生善治,3,2,谷川浩司
棋王戦,17,1991,羽生善治,3,1,南芳一
棋王戦,16,1990,羽生善治,3,1,南芳一
棋王戦,15,1989,南芳一,3,0,大山康晴
棋王戦,14,1988,南芳一,3,2,谷川浩司
棋王戦,13,1987,谷川浩司,3,2,高橋道雄
棋王戦,12,1986,高橋道雄,3,1,谷川浩司
棋王戦,11,1985,谷川浩司,3,0,桐山清澄
棋王戦,10,1984,桐山清澄,3,1,米長邦雄
棋王戦,9,1983,米長邦雄,3,1,森安秀光
棋王戦,8,1982,米長邦雄,3,0,大山康晴
棋王戦,7,1981,米長邦雄,3,2,森安秀光
棋王戦,6,1980,米長邦雄,3,1,中原誠
棋王戦,5,1979,中原誠,3,1,米長邦雄
棋王戦,4,1978,米長邦雄,3,2,加藤一二三
棋王戦,3,1977,加藤一二三,3,0,中原誠
棋王戦,2,1976,加藤一二三,3,0,大内延介
棋王戦,1,1975,大内延介,,
