棋戦,期,年度,優勝者,勝,敗,相手
棋聖戦,96,2025,藤井聡太,3,0,杉本和陽
棋聖戦,95,2024,藤井聡太,3,0,山崎隆之
棋聖戦,94,2023,藤井聡太,3,1,佐々木大地
棋聖戦,93,2022,藤井聡太,3,1,永瀬拓矢
棋聖戦,92,2021,藤井聡太,3,0,渡辺明
棋聖戦,91,2020,藤井聡太,3,1,渡辺明
棋聖戦,90,2019,渡辺明,3,1,豊島将之
棋聖戦,89,2018,豊島将之,3,2,羽生善治
棋聖戦,88,2017,羽生善治,3,1,斎藤慎太郎
棋聖戦,87,2016,羽生善治,3,2,永瀬拓矢
棋聖戦,86,2015,羽生善治,3,1,豊島将之
棋聖戦,85,2014,羽生善治,3,0,森内俊之
棋聖戦,84,2013,羽生善治,3,1,渡辺明
棋聖戦,83,2012,羽生善治,3,0,中村太地
棋聖戦,82,2011,羽生善治,3,0,深浦康市
棋聖戦,81,2010,羽生善治,3,0,深浦康市
棋聖戦,80,2009,羽生善治,3,2,木村一基
棋聖戦,79,2008,羽生善治,3,2,佐藤康光
棋聖戦,78,2007,佐藤康光,3,1,渡辺明
棋聖戦,77,2006,佐藤康光,3,0,鈴木大介
棋聖戦,76,2005,佐藤康光,3,2,羽生善治
棋聖戦,75,2004,佐藤康光,3,0,森内俊之
棋聖戦,74,2003,佐藤康光,3,0,丸山忠久
棋聖戦,73,2002,佐藤康光,3,2,郷田真隆
棋聖戦,72,2001,郷田真隆,3,2,羽生善治
棋聖戦,71,2000,羽生善治,3,2,谷川浩司
棋聖戦,70,1999,谷川浩司,3,0,郷田真隆
棋聖戦,69,1998,郷田真隆,3,0,屋敷伸之
棋聖戦,68,1997,屋敷伸之,3,1,三浦弘行
棋聖戦,67,1996,三浦弘行,3,2,羽生善治
棋聖戦,66,1995,羽生善治,3,0,三浦弘行
棋聖戦,65,1994,羽生善治,3,0,島朗
棋聖戦,64,1994,羽生善治,3,1,谷川浩司
棋聖戦,63,1993,羽生善治,3,2,谷川浩司
棋聖戦,62,1993,羽生善治,3,1,谷川浩司
棋聖戦,61,1992,谷川浩司,3,0,郷田真隆
棋聖戦,60,1992,谷川浩司,3,1,郷田真隆
棋聖戦,59,1991,谷川浩司,3,0,南芳一
棋聖戦,58,1991,南芳一,3,2,屋敷伸之
棋聖戦,57,1990,屋敷伸之,3,1,森下卓
棋聖戦,56,1990,屋敷伸之,3,2,中原誠
棋聖戦,55,1989,中原誠,3,2,屋敷伸之
棋聖戦,54,1989,中原誠,3,1,南芳一
棋聖戦,53,1988,中原誠,3,2,田中寅彦
棋聖戦,52,1988,田中寅彦,3,2,南芳一
棋聖戦,51,1987,南芳一,3,0,桐山清澄
棋聖戦,50,1987,桐山清澄,3,0,西村一義
棋聖戦,49,1986,桐山清澄,3,1,南芳一
棋聖戦,48,1986,桐山清澄,3,1,米長邦雄
棋聖戦,47,1985,米長邦雄,3,0,中村修
棋聖戦,46,1985,米長邦雄,3,1,勝浦修
棋聖戦,45,1984,米長邦雄,3,2,中村修
棋聖戦,44,1984,米長邦雄,3,0,谷川浩司
棋聖戦,43,1983,米長邦雄,3,1,森安秀光
棋聖戦,42,1983,森安秀光,3,2,中原誠
棋聖戦,41,1982,中原誠,3,1,森けい二
棋聖戦,40,1982,森けい二,3,0,二上達也
棋聖戦,39,1981,二上達也,3,0,加藤一二三
棋聖戦,38,1981,二上達也,3,0,中原誠
棋聖戦,37,1980,二上達也,3,1,米長邦雄
棋聖戦,36,1980,米長邦雄,3,1,中原誠
棋聖戦,35,1979,中原誠,3,0,淡路仁茂
棋聖戦,34,1979,中原誠,3,1,加藤一二三
棋聖戦,33,1978,中原誠,3,1,二上達也
棋聖戦,32,1978,中原誠,3,0,有吉道夫
棋聖戦,31,1977,中原誠,3,2,大山康晴
棋聖戦,30,1977,大山康晴,3,1,森けい二
棋聖戦,29,1976,大山康晴,3,2,米長邦雄
棋聖戦,28,1976,大山康晴,3,1,桐山清澄
棋聖戦,27,1975,大山康晴,3,0,二上達也
棋聖戦,26,1975,大山康晴,3,1,二上達也
棋聖戦,25,1974,大山康晴,3,0,米長邦雄
棋聖戦,24,1974,大山康晴,3,1,内藤國雄
棋聖戦,23,1973,内藤國雄,3,2,米長邦雄
棋聖戦,22,1973,米長邦雄,3,1,有吉道夫
棋聖戦,21,1972,有吉道夫,3,2,中原誠
棋聖戦,20,1972,中原誠,3,1,内藤國雄
棋聖戦,19,1971,中原誠,3,1,二上達也
棋聖戦,18,1971,中原誠,3,1,大山康晴
棋聖戦,17,1970,中原誠,3,0,大山康晴
棋聖戦,16,1970,大山康晴,3,1,内藤國雄
棋聖戦,15,1969,内藤國雄,3,1,中原誠
棋聖戦,14,1969,中原誠,3,0,山田道美
棋聖戦,13,1968,中原誠,3,1,大山康晴
棋聖戦,12,1968,中原誠,3,1,山田道美
棋聖戦,11,1967,山田道美,3,2,中原誠
棋聖戦,10,1967,山田道美,3,1,大山康晴
棋聖戦,9,1966,大山康晴,3,0,二上達也
棋聖戦,8,1966,二上達也,3,1,大山康晴
棋聖戦,7,1965,大山康晴,3,2,二上達也
棋聖戦,6,1965,大山康晴,3,2,升田幸三
棋聖戦,5,1964,大山康晴,3,0,本間爽悦
棋聖戦,4,1964,大山康晴,3,2,関根茂
棋聖戦,3,1963,大山康晴,3,1,升田幸三
棋聖戦,2,1963,大山康晴,3,0,二上達也
棋聖戦,1,1962,大山康晴,3,1,塚田正夫
