棋戦,期,年度,優勝者,勝,敗,相手
王位戦,66,2025,藤井聡太,4,2,永瀬拓矢
王位戦,65,2024,藤井聡太,4,1,渡辺明
王位戦,64,2023,藤井聡太,4,1,佐々木大地
王位戦,63,2022,藤井聡太,4,1,豊島将之
王位戦,62,2021,藤井聡太,4,1,豊島将之
王位戦,61,2020,藤井聡太,4,0,木村一基
王位戦,60,2019,木村一基,4,3,豊島将之
王位戦,59,2018,豊島将之,4,3,菅井竜也
王位戦,58,2017,菅井竜也,4,1,羽生善治
王位戦,57,2016,羽生善治,4,3,木村一基
王位戦,56,2015,羽生善治,4,1,広瀬章人
王位戦,55,2014,羽生善治,4,2,木村一基
王位戦,54,2013,羽生善治,4,1,行方尚史
王位戦,53,2012,羽生善治,4,1,藤井猛
王位戦,52,2011,羽生善治,4,3,広瀬章人
王位戦,51,2010,広瀬章人,4,2,深浦康市
王位戦,50,2009,深浦康市,4,3,木村一基
王位戦,49,2008,深浦康市,4,3,羽生善治
王位戦,48,2007,深浦康市,4,3,羽生善治
王位戦,47,2006,羽生善治,4,2,佐藤康光
王位戦,46,2005,羽生善治,4,3,佐藤康光
王位戦,45,2004,羽生善治,4,1,谷川浩司
王位戦,44,2003,谷川浩司,4,1,羽生善治
王位戦,43,2002,谷川浩司,4,1,羽生善治
王位戦,42,2001,羽生善治,4,0,屋敷伸之
王位戦,41,2000,羽生善治,4,3,谷川浩司
王位戦,40,1999,羽生善治,4,0,谷川浩司
王位戦,39,1998,羽生善治,4,2,佐藤康光
王位戦,38,1997,羽生善治,4,1,佐藤康光
王位戦,37,1996,羽生善治,4,1,深浦康市
王位戦,36,1995,羽生善治,4,2,郷田真隆
王位戦,35,1994,羽生善治,4,3,郷田真隆
王位戦,34,1993,羽生善治,4,0,郷田真隆
王位戦,33,1992,郷田真隆,4,2,谷川浩司
王位戦,32,1991,谷川浩司,4,2,中田宏樹
王位戦,31,1990,谷川浩司,4,3,佐藤康光
王位戦,30,1989,谷川浩司,4,1,森けい二
王位戦,29,1988,森けい二,4,3,谷川浩司
王位戦,28,1987,谷川浩司,4,1,高橋道雄
王位戦,27,1986,高橋道雄,4,0,米長邦雄
王位戦,26,1985,高橋道雄,4,0,加藤一二三
王位戦,25,1984,加藤一二三,4,3,高橋道雄
王位戦,24,1983,高橋道雄,4,2,内藤國雄
王位戦,23,1982,内藤國雄,4,2,中原誠
王位戦,22,1981,中原誠,4,3,大山康晴
王位戦,21,1980,中原誠,4,0,米長邦雄
王位戦,20,1979,米長邦雄,4,3,中原誠
王位戦,19,1978,中原誠,4,1,大山康晴
王位戦,18,1977,中原誠,4,2,米長邦雄
王位戦,17,1976,中原誠,4,2,勝浦修
王位戦,16,1975,中原誠,4,2,内藤國雄
王位戦,15,1974,中原誠,4,2,米長邦雄
王位戦,14,1973,中原誠,4,0,内藤國雄
王位戦,13,1972,内藤國雄,4,1,大山康晴
王位戦,12,1971,大山康晴,4,3,中原誠
王位戦,11,1970,大山康晴,4,1,米長邦雄
王位戦,10,1969,大山康晴,4,2,西村一義
王位戦,9,1968,大山康晴,4,2,有吉道夫
王位戦,8,1967,大山康晴,4,1,大内延介
王位戦,7,1966,大山康晴,4,1,有吉道夫
王位戦,6,1965,大山康晴,4,0,佐藤大五郎
王位戦,5,1964,大山康晴,4,2,二上達也
王位戦,4,1963,大山康晴,4,2,加藤一二三
王位戦,3,1962,大山康晴,4,0,花村元司
王位戦,2,1961,大山康晴,4,1,丸田祐三
王位戦,1,1960,大山康晴,4,1,塚田正夫
