棋戦,期,年度,優勝者,勝,敗,相手
王座戦,73,2025,伊藤匠,3,2,藤井聡太
王座戦,72,2024,藤井聡太,3,0,永瀬拓矢
王座戦,71,2023,藤井聡太,3,1,永瀬拓矢
王座戦,70,2022,永瀬拓矢,3,1,豊島将之
王座戦,69,2021,永瀬拓矢,3,1,木村一基
王座戦,68,2020,永瀬拓矢,3,2,久保利明
王座戦,67,2019,永瀬拓矢,3,0,斎藤慎太郎
王座戦,66,2018,斎藤慎太郎,3,2,中村太地
王座戦,65,2017,中村太地,3,1,羽生善治
王座戦,64,2016,羽生善治,3,0,糸谷哲郎
王座戦,63,2015,羽生善治,3,2,佐藤天彦
王座戦,62,2014,羽生善治,3,2,豊島将之
王座戦,61,2013,羽生善治,3,2,中村太地
王座戦,60,2012,羽生善治,3,1,渡辺明
王座戦,59,2011,渡辺明,3,0,羽生善治
王座戦,58,2010,羽生善治,3,0,藤井猛
王座戦,57,2009,羽生善治,3,0,山崎隆之
王座戦,56,2008,羽生善治,3,0,木村一基
王座戦,55,2007,羽生善治,3,0,久保利明
王座戦,54,2006,羽生善治,3,0,佐藤康光
王座戦,53,2005,羽生善治,3,0,佐藤康光
王座戦,52,2004,羽生善治,3,1,森内俊之
王座戦,51,2003,羽生善治,3,2,渡辺明
王座戦,50,2002,羽生善治,3,0,佐藤康光
王座戦,49,2001,羽生善治,3,1,久保利明
王座戦,48,2000,羽生善治,3,2,藤井猛
王座戦,47,1999,羽生善治,3,1,丸山忠久
王座戦,46,1998,羽生善治,3,2,谷川浩司
王座戦,45,1997,羽生善治,3,0,島朗
王座戦,44,1996,羽生善治,3,0,島朗
王座戦,43,1995,羽生善治,3,0,森けい二
王座戦,42,1994,羽生善治,3,0,谷川浩司
王座戦,41,1993,羽生善治,3,1,谷川浩司
王座戦,40,1992,羽生善治,3,0,福崎文吾
王座戦,39,1991,福崎文吾,3,2,谷川浩司
王座戦,38,1990,谷川浩司,3,1,中原誠
王座戦,37,1989,中原誠,3,2,青野照市
王座戦,36,1988,中原誠,3,0,塚田泰明
王座戦,35,1987,塚田泰明,3,2,中原誠
