period,years,winner,score,runner-up,result,champion,birth,victory,age,days,ranking
55,2024,服部慎一郎,２－０,高田明浩,○,伊藤匠 ,1999-08-02,2024-10-21,25歳2ヶ月19日,9212,37
54,2023,上野裕寿,２－１,藤本　渚,●,藤井聡太 ,2003-05-05,2023-10-31,20歳5ヶ月26日,7484,11
53,2022,服部慎一郎,２－１,黒田尭之,●,渡辺明 ,1999-08-02,2022-11-01,23歳2ヶ月30日,8492,23
52,2021,伊藤　匠,２－０,古賀悠聖,●,藤井聡太 ,2002-10-10,2021-10-11,19歳0ヶ月1日,6941,6
51,2020,池永天志,２－０,齊藤優希,○,渡辺明 ,1993-04-20,2020-10-26,27歳6ヶ月6日,10051,46
50,2019,高野智史,２－１,増田康宏,○,木村一基 ,1993-10-27,2019-10-28,26歳0ヶ月1日,9497,40
49,2018,藤井聡太,２－０,出口若武,○,豊島将之 ,2002-07-19,2018-10-17,16歳2ヶ月28日,5934,1
48,2017,増田康宏,２－０,佐々木大地,●,中村太地 ,1997-11-04,2017-10-23,19歳11ヶ月19日,7293,8
47,2016,増田康宏,２－０,石田直裕,●,佐藤天彦 ,1997-11-04,2016-10-11,18歳11ヶ月7日,6916,5
46,2015,菅井竜也,２－１,大橋貴洸,●,郷田真隆 ,1992-04-17,2015-10-19,23歳6ヶ月2日,8585,25
45,2014,阿部光瑠,２－１,佐々木勇気,●,渡辺明 ,1994-10-25,2014-10-24,19歳11ヶ月29日,7304,9
44,2013,都成竜馬,２－１,藤森哲也,●,羽生善治 ,1990-01-17,2013-10-22,23歳9ヶ月5日,8679,28
43,2012,永瀬拓矢,２－１,藤森哲也,●,郷田真隆 ,1992-09-05,2012-10-31,20歳1ヶ月26日,7361,10
42,2011,佐藤天彦,２－１,豊島将之,○,森内俊之 ,1988-01-16,2011-10-24,23歳9ヶ月8日,8682,29
41,2010,阿部健治郎,２－１,加来博洋,○,久保利明 ,1989-02-25,2010-10-22,21歳7ヶ月27日,7909,18
40,2009,広瀬章人,２－０,中村太地,○,羽生善治 ,1987-01-18,2009-10-27,22歳9ヶ月9日,8318,21
39,2008,佐藤天彦,２－０,星野良生,●,佐藤康光 ,1988-01-16,2008-09-25,20歳8ヶ月9日,7558,12
38,2007,村山慈明,２－０,中村亮介,●,羽生善治 ,1984-05-09,2007-10-12,23歳5ヶ月3日,8556,24
37,2006,糸谷哲郎,２－０,横山泰明,●,森内俊之 ,1988-10-05,2006-10-12,18歳0ヶ月7日,6581,3
36,2005,渡辺　明,２－０,千葉幸生,○,森内俊之,1984-04-23,2005-10-14,21歳5ヶ月21日,7844,15
35,2004,山崎隆之,２－１,佐藤紳哉,●,森内俊之,1981-02-14,2004-11-04,23歳8ヶ月21日,8664,27
34,2003,田村康介,２－１,行方尚史,●,羽生善治,1976-03-16,2003-10-30,27歳7ヶ月14日,10089,47
33,2002,木村一基,２－１,鈴木大介,○,森内俊之,1973-06-23,2002-10-11,29歳3ヶ月18日,10702,53
32,2001,松尾　歩,２－０,木村一基,○,丸山忠久,1980-03-29,2001-10-12,21歳6ヶ月13日,7867,16
31,2000,山崎隆之,２－１,北浜健介,○,丸山忠久,1981-02-14,2000-11-15,19歳9ヶ月1日,7214,7
30,1999,藤井　猛,２－０,堀口一史座,●,佐藤康光,1970-09-29,1999-10-18,29歳0ヶ月19日,10611,52
29,1998,三浦弘行,２－０,畠山成幸,●,佐藤康光,1974-02-13,1998-10-26,24歳8ヶ月13日,9021,34
28,1997,藤井　猛,２－０,畠山　鎮,●,谷川浩司,1970-09-29,1997-10-24,27歳0ヶ月25日,9887,45
27,1996,藤井　猛,２－１,丸山忠久,○,羽生善治,1970-09-29,1996-11-05,26歳1ヶ月7日,9534,41
26,1995,丸山忠久,２－１,深浦康市,●,羽生善治,1970-09-05,1995-11-01,25歳1ヶ月27日,9188,36
25,1994,丸山忠久,２－０,郷田真隆,●,羽生善治,1970-09-05,1994-10-31,24歳1ヶ月26日,8822,31
24,1993,森内俊之,２－１,佐藤康光,●,米長邦雄,1970-10-10,1993-11-02,23歳0ヶ月23日,8424,22
23,1992,佐藤秀司,２－０,石飛英二,○,中原誠,1967-06-08,1992-10-30,25歳4ヶ月22日,9276,38
22,1991,森内俊之,２－０,森下　卓,○,中原誠,1970-10-10,1991-10-31,21歳0ヶ月21日,7691,14
21,1990,森下　卓,２－０,大野八一雄,●,中原誠,1966-07-10,1990-10-25,24歳3ヶ月15日,8873,32
20,1989,浦市郎,２－０,中川大輔,●,谷川浩司,1966-03-04,1989-10-24,23歳7ヶ月20日,8635,26
19,1988,羽生善治,２－０,森内俊之,●,谷川浩司,1970-09-27,1988-11-04,18歳1ヶ月8日,6613,4
18,1987,森内俊之,２－０,飯田弘之,●,中原誠,1970-10-10,1987-10-23,17歳0ヶ月13日,6222,2
17,1986,塚田泰明,２－０,脇　謙二,○,中原誠,1964-11-16,1986-10-17,21歳11ヶ月1日,8005,20
16,1985,井上慶太,２－１,森下　卓,●,中原誠,1964-01-17,1985-10-04,21歳8ヶ月17日,7931,19
15,1984,小野修一,２－０,中村　修,●,谷川浩司,1958-02-12,1984-10-30,26歳8ヶ月18日,9757,43
14,1983,中村　修,２－０,宮田利男,●,谷川浩司,1962-11-07,1983-10-31,20歳11ヶ月24日,7663,13
13,1982,小野修一,２－０,島　朗,●,加藤一二三,1958-02-12,1982-11-19,24歳9ヶ月7日,9046,35
12,1981,田中寅彦,２－０,伊藤　果,●,中原誠,1957-04-29,1981-11-17,24歳6ヶ月19日,8968,33
11,1980,森　信雄,２－０,島　朗,●,中原誠,1952-02-10,1980-11-07,28歳8ヶ月28日,10498,50
10,1979,青野照市,２－０,坪内利幸,○,中原誠,1953-01-31,1979-11-06,26歳9ヶ月6日,9775,44
9,1978,小阪　昇,２－１,森安秀光,●,中原誠,1950-02-18,1978-10-31,28歳8ヶ月13日,10482,49
8,1977,森安秀光,２－０,真部一男,○,中原誠,1949-08-18,1977-11-02,28歳2ヶ月15日,10303,48
7,1976,石田和雄,２－０,森安秀光,●,中原誠,1947-03-29,1976-10-29,29歳7ヶ月0日,10807,54
6,1975,森安秀光,２－０,桜井　昇,●,中原誠,1949-08-18,1975-11-14,26歳2ヶ月27日,9584,42
5,1974,青野照市,２－０,吉田利勝,●,中原誠,1953-01-31,1974-09-09,21歳7ヶ月9日,7891,17
4,1973,森安秀光,２－１,勝浦　修,○,中原誠,1949-08-18,1973-09-19,24歳1ヶ月1日,8798,30
3,1972,石田和雄,２－１,桐山清澄,○,中原誠,1947-03-29,1972-09-14,25歳5ヶ月16日,9301,39
2,1971,若松政和,２－０,森安秀光,●,大山康晴,1939-08-10,1971-08-27,32歳0ヶ月17日,11705,55
1,1970,山口英夫,２－０,橋本三治,●,大山康晴,1941-09-08,1970-08-07,28歳10ヶ月30日,10560,51
