棋戦,期,年度,優勝者,準優勝
朝日杯将棋オープン戦,18,2024,近藤誠也,井田明宏
朝日杯将棋オープン戦,17,2023,永瀬拓矢,藤井聡太
朝日杯将棋オープン戦,16,2022,藤井聡太,渡辺明
朝日杯将棋オープン戦,15,2021,菅井竜也,稲葉陽
朝日杯将棋オープン戦,14,2020,藤井聡太,三浦弘行
朝日杯将棋オープン戦,13,2019,千田翔太,永瀬拓矢
朝日杯将棋オープン戦,12,2018,藤井聡太,渡辺明
朝日杯将棋オープン戦,11,2017,藤井聡太,広瀬章人
朝日杯将棋オープン戦,10,2016,八代弥,村山慈明
朝日杯将棋オープン戦,9,2015,羽生善治,森内俊之
朝日杯将棋オープン戦,8,2014,羽生善治,渡辺明
朝日杯将棋オープン戦,7,2013,羽生善治,渡辺明
朝日杯将棋オープン戦,6,2012,渡辺明,菅井竜也
朝日杯将棋オープン戦,5,2011,羽生善治,広瀬章人
朝日杯将棋オープン戦,4,2010,木村一基,羽生善治
朝日杯将棋オープン戦,3,2009,羽生善治,久保利明
朝日杯将棋オープン戦,2,2008,阿久津主税,久保利明
朝日杯将棋オープン戦,1,2007,行方尚史,丸山忠久
