棋戦,回,年度,優勝者,準優勝
NHK杯将棋トーナメント,74,2024,藤井聡太,郷田真隆
NHK杯将棋トーナメント,73,2023,佐々木勇気,藤井聡太
NHK杯将棋トーナメント,72,2022,藤井聡太,佐々木勇気
NHK杯将棋トーナメント,71,2021,豊島将之,松尾歩
NHK杯将棋トーナメント,70,2020,稲葉陽,斎藤慎太郎
NHK杯将棋トーナメント,69,2019,深浦康市,稲葉陽
NHK杯将棋トーナメント,68,2018,羽生善治,郷田真隆
NHK杯将棋トーナメント,67,2017,山崎隆之,稲葉陽
NHK杯将棋トーナメント,66,2016,佐藤康光,佐藤和俊
NHK杯将棋トーナメント,65,2015,村山慈明,千田翔太
NHK杯将棋トーナメント,64,2014,森内俊之,行方尚史
NHK杯将棋トーナメント,63,2013,郷田真隆,丸山忠久
NHK杯将棋トーナメント,62,2012,渡辺明,羽生善治
NHK杯将棋トーナメント,61,2011,羽生善治,渡辺明
NHK杯将棋トーナメント,60,2010,羽生善治,糸谷哲郎
NHK杯将棋トーナメント,59,2009,羽生善治,糸谷哲郎
NHK杯将棋トーナメント,58,2008,羽生善治,森内俊之
NHK杯将棋トーナメント,57,2007,佐藤康光,鈴木大介
NHK杯将棋トーナメント,56,2006,佐藤康光,森内俊之
NHK杯将棋トーナメント,55,2005,丸山忠久,渡辺明
NHK杯将棋トーナメント,54,2004,山崎隆之,羽生善治
NHK杯将棋トーナメント,53,2003,久保利明,羽生善治
NHK杯将棋トーナメント,52,2002,三浦弘行,先崎学
NHK杯将棋トーナメント,51,2001,森内俊之,佐藤康光
NHK杯将棋トーナメント,50,2000,羽生善治,久保利明
NHK杯将棋トーナメント,49,1999,鈴木大介,郷田真隆
NHK杯将棋トーナメント,48,1998,羽生善治,堀口一史座
NHK杯将棋トーナメント,47,1997,羽生善治,村山聖
NHK杯将棋トーナメント,46,1996,森内俊之,屋敷伸之
NHK杯将棋トーナメント,45,1995,羽生善治,中川大輔
NHK杯将棋トーナメント,44,1994,中原誠,米長邦雄
NHK杯将棋トーナメント,43,1993,加藤一二三,佐藤康光
NHK杯将棋トーナメント,42,1992,中原誠,島朗
NHK杯将棋トーナメント,41,1991,羽生善治,塚田泰明
NHK杯将棋トーナメント,40,1990,先崎学,南芳一
NHK杯将棋トーナメント,39,1989,櫛田陽一,島朗
NHK杯将棋トーナメント,38,1988,羽生善治,中原誠
NHK杯将棋トーナメント,37,1987,中原誠,中村修
NHK杯将棋トーナメント,36,1986,前田祐司,森雞二
NHK杯将棋トーナメント,35,1985,谷川浩司,内藤國雄
NHK杯将棋トーナメント,34,1984,田中寅彦,加藤一二三
NHK杯将棋トーナメント,33,1983,大山康晴,加藤一二三
NHK杯将棋トーナメント,32,1982,中原誠,青野照市
NHK杯将棋トーナメント,31,1981,加藤一二三,伊藤果
NHK杯将棋トーナメント,30,1980,有吉道夫,中原誠
NHK杯将棋トーナメント,29,1979,大山康晴,森雞二
NHK杯将棋トーナメント,28,1978,米長邦雄,真部一男
NHK杯将棋トーナメント,27,1977,中原誠,加藤一二三
NHK杯将棋トーナメント,26,1976,加藤一二三,米長邦雄
NHK杯将棋トーナメント,25,1975,大内延介,二上達也
NHK杯将棋トーナメント,24,1974,中原誠,内藤國雄
NHK杯将棋トーナメント,23,1973,加藤一二三,内藤國雄
NHK杯将棋トーナメント,22,1972,大山康晴,米長邦雄
NHK杯将棋トーナメント,21,1971,加藤一二三,大内延介
NHK杯将棋トーナメント,20,1970,大山康晴,中原誠
NHK杯将棋トーナメント,19,1969,内藤國雄,関根茂
NHK杯将棋トーナメント,18,1968,丸田祐三,山田道美
NHK杯将棋トーナメント,17,1967,大友昇,二上達也
NHK杯将棋トーナメント,16,1966,加藤一二三,二上達也
NHK杯将棋トーナメント,15,1965,丸田祐三,升田幸三
NHK杯将棋トーナメント,14,1964,大山康晴,塚田正夫
NHK杯将棋トーナメント,13,1963,升田幸三,加藤一二三
NHK杯将棋トーナメント,12,1962,灘蓮照,升田幸三
NHK杯将棋トーナメント,11,1961,大山康晴,加藤博二
NHK杯将棋トーナメント,10,1960,加藤一二三,大山康晴
NHK杯将棋トーナメント,9,1959,丸田祐三,大野源一
NHK杯将棋トーナメント,8,1958,灘蓮照,大山康晴
NHK杯将棋トーナメント,7,1957,升田幸三,灘蓮照
NHK杯将棋トーナメント,6,1956,原田泰夫,灘蓮照
NHK杯将棋トーナメント,5,1955,大山康晴,灘蓮照
NHK杯将棋トーナメント,4,1954,大山康晴,塚田正夫
NHK杯将棋トーナメント,3,1953,塚田正夫,花村元司
NHK杯将棋トーナメント,2,1952,升田幸三,丸田祐三
NHK杯将棋トーナメント,1,1951,木村義雄,升田幸三
