棋戦,期,年度,優勝者,勝,敗,相手
王将戦,75,2025,,0,0,
王将戦,74,2024,藤井聡太,4,1,永瀬拓矢
王将戦,73,2023,藤井聡太,4,0,菅井竜也
王将戦,72,2022,藤井聡太,4,2,羽生善治
王将戦,71,2021,藤井聡太,4,0,渡辺明
王将戦,70,2020,渡辺明,4,2,永瀬拓矢
王将戦,69,2019,渡辺明,4,3,広瀬章人
王将戦,68,2018,渡辺明,4,0,久保利明
王将戦,67,2017,久保利明,4,2,豊島将之
王将戦,66,2016,久保利明,4,2,郷田真隆
王将戦,65,2015,郷田真隆,4,2,羽生善治
王将戦,64,2014,郷田真隆,4,3,渡辺明
王将戦,63,2013,渡辺明,4,3,羽生善治
王将戦,62,2012,渡辺明,4,1,佐藤康光
王将戦,61,2011,佐藤康光,4,1,久保利明
王将戦,60,2010,久保利明,4,2,豊島将之
王将戦,59,2009,久保利明,4,2,羽生善治
王将戦,58,2008,羽生善治,4,3,深浦康市
王将戦,57,2007,羽生善治,4,1,久保利明
王将戦,56,2006,羽生善治,4,3,佐藤康光
王将戦,55,2005,羽生善治,4,3,佐藤康光
王将戦,54,2004,羽生善治,4,0,森内俊之
王将戦,53,2003,森内俊之,4,2,羽生善治
王将戦,52,2002,羽生善治,4,0,佐藤康光
王将戦,51,2001,佐藤康光,4,2,羽生善治
王将戦,50,2000,羽生善治,4,1,谷川浩司
王将戦,49,1999,羽生善治,4,0,佐藤康光
王将戦,48,1998,羽生善治,4,1,森下卓
王将戦,47,1997,羽生善治,4,1,佐藤康光
王将戦,46,1996,羽生善治,4,0,谷川浩司
王将戦,45,1995,羽生善治,4,0,谷川浩司
王将戦,44,1994,谷川浩司,4,3,羽生善治
王将戦,43,1993,谷川浩司,4,2,中原誠
王将戦,42,1992,谷川浩司,4,0,村山聖
王将戦,41,1991,谷川浩司,4,1,南芳一
王将戦,40,1990,南芳一,4,2,米長邦雄
王将戦,39,1989,米長邦雄,4,3,南芳一
王将戦,38,1988,南芳一,4,0,島朗
王将戦,37,1987,南芳一,4,3,中村修
王将戦,36,1986,中村修,4,2,中原誠
王将戦,35,1985,中村修,4,2,中原誠
王将戦,34,1984,中原誠,4,1,米長邦雄
王将戦,33,1983,米長邦雄,4,1,森けい二
王将戦,32,1982,米長邦雄,4,1,大山康晴
王将戦,31,1981,大山康晴,4,3,中原誠
王将戦,30,1980,大山康晴,4,1,米長邦雄
王将戦,29,1979,大山康晴,4,2,加藤一二三
王将戦,28,1978,加藤一二三,4,1,中原誠
王将戦,27,1977,中原誠,4,2,有吉道夫
王将戦,26,1976,中原誠,4,2,大山康晴
王将戦,25,1975,中原誠,4,1,有吉道夫
王将戦,24,1974,中原誠,4,3,米長邦雄
王将戦,23,1973,中原誠,4,2,米長邦雄
王将戦,22,1972,中原誠,4,0,大山康晴
王将戦,21,1971,大山康晴,4,3,有吉道夫
王将戦,20,1970,大山康晴,4,3,中原誠
王将戦,19,1969,大山康晴,4,1,二上達也
王将戦,18,1968,大山康晴,4,0,内藤國雄
王将戦,17,1967,大山康晴,4,2,加藤一二三
王将戦,16,1966,大山康晴,4,1,加藤一二三
王将戦,15,1965,大山康晴,4,3,山田道美
王将戦,14,1964,大山康晴,4,1,加藤博二
王将戦,13,1963,大山康晴,3,0,二上達也
王将戦,12,1962,二上達也,4,2,大山康晴
王将戦,11,1961,大山康晴,3,0,加藤一二三
王将戦,10,1960,大山康晴,4,2,二上達也
王将戦,9,1959,大山康晴,4,2,二上達也
王将戦,8,1958,大山康晴,3,0,高島一岐代
王将戦,7,1957,大山康晴,4,3,升田幸三
王将戦,6,1956,升田幸三,4,2,大山康晴
王将戦,5,1955,升田幸三,3,0,大山康晴
王将戦,4,1954,大山康晴,4,1,松田茂役
王将戦,3,1953,大山康晴,4,2,升田幸三
王将戦,2,1952,大山康晴,4,3,丸田祐三
王将戦,1,1951,升田幸三,4,1,木村義雄
