棋戦,期,年度,優勝者,勝,敗,相手
竜王戦,38,2025,藤井聡太,4,0,佐々木勇気
竜王戦,37,2024,藤井聡太,4,2,佐々木勇気
竜王戦,36,2023,藤井聡太,4,0,伊藤匠
竜王戦,35,2022,藤井聡太,4,2,広瀬章人
竜王戦,34,2021,藤井聡太,4,0,豊島将之
竜王戦,33,2020,豊島将之,4,1,羽生善治
竜王戦,32,2019,豊島将之,4,1,広瀬章人
竜王戦,31,2018,広瀬章人,4,3,羽生善治
竜王戦,30,2017,羽生善治,4,1,渡辺明
竜王戦,29,2016,渡辺明,4,3,丸山忠久
竜王戦,28,2015,渡辺明,4,1,糸谷哲郎
竜王戦,27,2014,糸谷哲郎,4,1,森内俊之
竜王戦,26,2013,森内俊之,4,1,渡辺明
竜王戦,25,2012,渡辺明,4,1,丸山忠久
竜王戦,24,2011,渡辺明,4,1,丸山忠久
竜王戦,23,2010,渡辺明,4,2,羽生善治
竜王戦,22,2009,渡辺明,4,0,森内俊之
竜王戦,21,2008,渡辺明,4,3,羽生善治
竜王戦,20,2007,渡辺明,4,2,佐藤康光
竜王戦,19,2006,渡辺明,4,3,佐藤康光
竜王戦,18,2005,渡辺明,4,0,木村一基
竜王戦,17,2004,渡辺明,4,3,森内俊之
竜王戦,16,2003,森内俊之,4,0,羽生善治
竜王戦,15,2002,羽生善治,4,3,阿部隆
竜王戦,14,2001,羽生善治,4,1,藤井猛
竜王戦,13,2000,藤井猛,4,3,羽生善治
竜王戦,12,1999,藤井猛,4,1,鈴木大介
竜王戦,11,1998,藤井猛,4,0,谷川浩司
竜王戦,10,1997,谷川浩司,4,0,真田圭一
竜王戦,9,1996,谷川浩司,4,1,羽生善治
竜王戦,8,1995,羽生善治,4,2,佐藤康光
竜王戦,7,1994,羽生善治,4,2,佐藤康光
竜王戦,6,1993,佐藤康光,4,2,羽生善治
竜王戦,5,1992,羽生善治,4,3,谷川浩司
竜王戦,4,1991,谷川浩司,4,2,森下卓
竜王戦,3,1990,谷川浩司,4,1,羽生善治
竜王戦,2,1989,羽生善治,4,3,島朗
竜王戦,1,1988,島朗,4,0,米長邦雄
