棋戦,期,年,優勝者,勝,敗,準優勝
新人王戦,56,2025,服部慎一郎,2,1,斎藤明日斗
新人王戦,55,2024,服部慎一郎,2,0,高田明浩
新人王戦,54,2023,上野裕寿,2,1,藤本渚
新人王戦,53,2022,服部慎一郎,2,1,黒田尭之
新人王戦,52,2021,伊藤匠,2,0,古賀悠聖
新人王戦,51,2020,池永天志,2,0,齊藤優希
新人王戦,50,2019,高野智史,2,1,増田康宏
新人王戦,49,2018,藤井聡太,2,0,出口若武
新人王戦,48,2017,増田康宏,2,0,佐々木大地
新人王戦,47,2016,増田康宏,2,0,石田直裕
新人王戦,46,2015,菅井竜也,2,1,大橋貴洸
新人王戦,45,2014,阿部光瑠,2,1,佐々木勇気
新人王戦,44,2013,都成竜馬,2,1,藤森哲也
新人王戦,43,2012,永瀬拓矢,2,1,藤森哲也
新人王戦,42,2011,佐藤天彦,2,1,豊島将之
新人王戦,41,2010,阿部健治郎,2,1,加来博洋
新人王戦,40,2009,広瀬章人,2,0,中村太地
新人王戦,39,2008,佐藤天彦,2,0,星野良生
新人王戦,38,2007,村山慈明,2,0,中村亮介
新人王戦,37,2006,糸谷哲郎,2,0,横山泰明
新人王戦,36,2005,渡辺明,2,0,千葉幸生
新人王戦,35,2004,山崎隆之,2,1,佐藤紳哉
新人王戦,34,2003,田村康介,2,1,行方尚史
新人王戦,33,2002,木村一基,2,1,鈴木大介
新人王戦,32,2001,松尾歩,2,0,木村一基
新人王戦,31,2000,山崎隆之,2,1,北浜健介
新人王戦,30,1999,藤井猛,2,0,堀口一史座
新人王戦,29,1998,三浦弘行,2,0,畠山成幸
新人王戦,28,1997,藤井猛,2,0,畠山鎮
新人王戦,27,1996,藤井猛,2,1,丸山忠久
新人王戦,26,1995,丸山忠久,2,1,深浦康市
新人王戦,25,1994,丸山忠久,2,0,郷田真隆
新人王戦,24,1993,森内俊之,2,1,佐藤康光
新人王戦,23,1992,佐藤秀司,2,0,石飛英二
新人王戦,22,1991,森内俊之,2,0,森下卓
新人王戦,21,1990,森下卓,2,0,大野八一雄
新人王戦,20,1989,日浦市郎,2,0,中川大輔
新人王戦,19,1988,羽生善治,2,0,森内俊之
新人王戦,18,1987,森内俊之,2,0,飯田弘之
新人王戦,17,1986,塚田泰明,2,0,脇謙二
新人王戦,16,1985,井上慶太,2,1,森下卓
新人王戦,15,1984,小野修一,2,0,中村修
新人王戦,14,1983,中村修,2,0,宮田利男
新人王戦,13,1982,小野修一,2,0,島朗
新人王戦,12,1981,田中寅彦,2,0,伊藤果
新人王戦,11,1980,森信雄,2,0,島朗
新人王戦,10,1979,青野照市,2,0,坪内利幸
新人王戦,9,1978,小阪昇,2,1,森安秀光
新人王戦,8,1977,森安秀光,2,0,真部一男
新人王戦,7,1976,石田和雄,2,0,森安秀光
新人王戦,6,1975,森安秀光,2,0,桜井昇
新人王戦,5,1974,青野照市,2,0,吉田利勝
新人王戦,4,1973,森安秀光,2,1,勝浦修
新人王戦,3,1972,石田和雄,2,1,桐山清澄
新人王戦,2,1971,若松政和,2,0,森安秀光
新人王戦,1,1970,山口英夫,2,0,橋本三治
