match,years,period,holder,challenger,holder-score,challenger-score,draw
十段戦,1987,26,福崎文吾,高橋道雄,0,4,
十段戦,1986,25,米長邦雄,福崎文吾,2,4,
十段戦,1985,24,米長邦雄,中原誠,4,3,
十段戦,1984,23,中原誠,米長邦雄,3,4,
十段戦,1983,22,中原誠,桐山清澄,4,2,
十段戦,1982,21,加藤一二三,中原誠,2,4,
十段戦,1981,20,加藤一二三,米長邦雄,4,2,
十段戦,1980,19,中原誠,加藤一二三,1,4,
十段戦,1979,18,中原誠,米長邦雄,4,1,
十段戦,1978,17,中原誠,米長邦雄,4,3,
十段戦,1977,16,中原誠,加藤一二三,4,3,
十段戦,1976,15,中原誠,加藤一二三,4,3,
十段戦,1975,14,中原誠,大山康晴,4,0,
十段戦,1974,13,大山康晴,中原誠,3,4,
十段戦,1973,12,中原誠,大山康晴,3,4,
十段戦,1972,11,中原誠,大山康晴,4,1,
十段戦,1971,10,中原誠,大山康晴,4,2,
十段戦,1970,9,大山康晴,中原誠,2,4,
十段戦,1969,8,加藤一二三,大山康晴,3,4,
十段戦,1968,7,大山康晴,加藤一二三,3,4,
十段戦,1967,6,大山康晴,二上達也,4,1,1
十段戦,1966,5,大山康晴,二上達也,4,1,
十段戦,1965,4,大山康晴,二上達也,4,3,
十段戦,1964,3,大山康晴,升田幸三,4,2,
十段戦,1963,2,大山康晴,升田幸三,4,3,
十段戦,1962,1,升田幸三,大山康晴,3,4,
