match,years,period,holder,challenger,holder-score,challenger-score,draw
棋王戦,2025,51,,,0,0,
棋王戦,2024,50,藤井聡太,増田康宏,3,0,
棋王戦,2023,49,藤井聡太,伊藤匠,3,0,1
棋王戦,2022,48,渡辺明,藤井聡太,1,3,
棋王戦,2021,47,渡辺明,永瀬拓矢,3,1,
棋王戦,2020,46,渡辺明,糸谷哲郎,3,1,
棋王戦,2019,45,渡辺明,本田奎,3,1,
棋王戦,2018,44,渡辺明,広瀬章人,3,1,
棋王戦,2017,43,渡辺明,永瀬拓矢,3,2,
棋王戦,2016,42,渡辺明,千田翔太,3,2,
棋王戦,2015,41,渡辺明,佐藤天彦,3,1,
棋王戦,2014,40,渡辺明,羽生善治,3,0,
棋王戦,2013,39,渡辺明,三浦弘行,3,0,
棋王戦,2012,38,郷田真隆,渡辺明,1,3,
棋王戦,2011,37,久保利明,郷田真隆,1,3,
棋王戦,2010,36,久保利明,渡辺明,3,1,
棋王戦,2009,35,久保利明,佐藤康光,3,2,
棋王戦,2008,34,佐藤康光,久保利明,2,3,
棋王戦,2007,33,佐藤康光,羽生善治,3,2,
棋王戦,2006,32,森内俊之,佐藤康光,2,3,
棋王戦,2005,31,羽生善治,森内俊之,1,3,
棋王戦,2004,30,谷川浩司,羽生善治,0,3,
棋王戦,2003,29,丸山忠久,谷川浩司,1,3,
棋王戦,2002,28,羽生善治,丸山忠久,2,3,
棋王戦,2001,27,羽生善治,佐藤康光,3,1,
棋王戦,2000,26,羽生善治,久保利明,3,1,
棋王戦,1999,25,羽生善治,森内俊之,3,1,
棋王戦,1998,24,羽生善治,佐藤康光,3,0,
棋王戦,1997,23,羽生善治,郷田真隆,3,1,
棋王戦,1996,22,羽生善治,森下卓,3,0,
棋王戦,1995,21,羽生善治,高橋道雄,3,0,
棋王戦,1994,20,羽生善治,森下卓,3,0,
棋王戦,1993,19,羽生善治,南芳一,3,0,
棋王戦,1992,18,羽生善治,谷川浩司,3,2,
棋王戦,1991,17,羽生善治,南芳一,3,1,
棋王戦,1990,16,南芳一,羽生善治,1,3,
棋王戦,1989,15,南芳一,大山康晴,3,0,
棋王戦,1988,14,谷川浩司,南芳一,2,3,
棋王戦,1987,13,高橋道雄,谷川浩司,2,3,1
棋王戦,1986,12,谷川浩司,高橋道雄,1,3,
棋王戦,1985,11,桐山清澄,谷川浩司,0,3,
棋王戦,1984,10,米長邦雄,桐山清澄,1,3,
棋王戦,1983,9,米長邦雄,森安秀光,3,1,
棋王戦,1982,8,米長邦雄,大山康晴,3,0,
棋王戦,1981,7,米長邦雄,森安秀光,3,2,
棋王戦,1980,6,中原誠,米長邦雄,1,3,
棋王戦,1979,5,米長邦雄,中原誠,1,3,
棋王戦,1978,4,加藤一二三,米長邦雄,2,3,
棋王戦,1977,3,加藤一二三,中原誠,3,0,
棋王戦,1976,2,大内延介,加藤一二三,0,3,
棋王戦,1975,1,大内延介,,,,
