match,years,period,holder,challenger,holder-score,challenger-score,draw
棋聖戦,2025,96,藤井聡太,杉本和陽,3,0,
棋聖戦,2024,95,藤井聡太,山崎隆之,3,0,
棋聖戦,2023,94,藤井聡太,佐々木大地,3,1,
棋聖戦,2022,93,藤井聡太,永瀬拓矢,3,1,
棋聖戦,2021,92,藤井聡太,渡辺明,3,0,
棋聖戦,2020,91,渡辺明,藤井聡太,1,3,
棋聖戦,2019,90,豊島将之,渡辺明,1,3,
棋聖戦,2018,89,羽生善治,豊島将之,2,3,
棋聖戦,2017,88,羽生善治,斎藤慎太郎,3,1,
棋聖戦,2016,87,羽生善治,永瀬拓矢,3,2,
棋聖戦,2015,86,羽生善治,豊島将之,3,1,
棋聖戦,2014,85,羽生善治,森内俊之,3,0,
棋聖戦,2013,84,羽生善治,渡辺明,3,1,
棋聖戦,2012,83,羽生善治,中村太地,3,0,
棋聖戦,2011,82,羽生善治,深浦康市,3,0,
棋聖戦,2010,81,羽生善治,深浦康市,3,0,
棋聖戦,2009,80,羽生善治,木村一基,3,2,
棋聖戦,2008,79,佐藤康光,羽生善治,2,3,
棋聖戦,2007,78,佐藤康光,渡辺明,3,1,
棋聖戦,2006,77,佐藤康光,鈴木大介,3,0,
棋聖戦,2005,76,佐藤康光,羽生善治,3,2,
棋聖戦,2004,75,佐藤康光,森内俊之,3,0,
棋聖戦,2003,74,佐藤康光,丸山忠久,3,0,
棋聖戦,2002,73,郷田真隆,佐藤康光,2,3,
棋聖戦,2001,72,羽生善治,郷田真隆,2,3,
棋聖戦,2000,71,谷川浩司,羽生善治,2,3,
棋聖戦,1999,70,郷田真隆,谷川浩司,0,3,
棋聖戦,1998,69,屋敷伸之,郷田真隆,0,3,
棋聖戦,1997,68,三浦弘行,屋敷伸之,1,3,
棋聖戦,1996,67,羽生善治,三浦弘行,2,3,
棋聖戦,1995,66,羽生善治,三浦弘行,3,0,
棋聖戦,1994,65,羽生善治,島朗,3,0,
棋聖戦,1994,64,羽生善治,谷川浩司,3,1,
棋聖戦,1993,63,羽生善治,谷川浩司,3,2,
棋聖戦,1993,62,谷川浩司,羽生善治,1,3,
棋聖戦,1992,61,谷川浩司,郷田真隆,3,0,1
