match,years,period,holder,challenger,holder-score,challenger-score,draw
名人戦,2025,83,藤井聡太,永瀬拓矢,4,1,
名人戦,2024,82,藤井聡太,豊島将之,4,1,
名人戦,2023,81,渡辺明,藤井聡太,1,4,
名人戦,2022,80,渡辺明,斎藤慎太郎,4,1,
名人戦,2021,79,渡辺明,斎藤慎太郎,4,1,
名人戦,2020,78,豊島将之,渡辺明,2,4,
名人戦,2019,77,佐藤天彦,豊島将之,0,4,
名人戦,2018,76,佐藤天彦,羽生善治,4,2,
名人戦,2017,75,佐藤天彦,稲葉陽,4,2,
名人戦,2016,74,羽生善治,佐藤天彦,1,4,
名人戦,2015,73,羽生善治,行方尚史,4,1,
名人戦,2014,72,森内俊之,羽生善治,0,4,
名人戦,2013,71,森内俊之,羽生善治,4,1,
名人戦,2012,70,森内俊之,羽生善治,4,2,
名人戦,2011,69,羽生善治,森内俊之,3,4,
名人戦,2010,68,羽生善治,三浦弘行,4,0,
名人戦,2009,67,羽生善治,郷田真隆,4,3,
名人戦,2008,66,森内俊之,羽生善治,2,4,
名人戦,2007,65,森内俊之,郷田真隆,4,3,
名人戦,2006,64,森内俊之,谷川浩司,4,2,
名人戦,2005,63,森内俊之,羽生善治,4,3,
名人戦,2004,62,羽生善治,森内俊之,2,4,
名人戦,2003,61,森内俊之,羽生善治,0,4,
名人戦,2002,60,丸山忠久,森内俊之,0,4,
名人戦,2001,59,丸山忠久,谷川浩司,4,3,
名人戦,2000,58,佐藤康光,丸山忠久,3,4,
名人戦,1999,57,佐藤康光,谷川浩司,4,3,
名人戦,1998,56,谷川浩司,佐藤康光,3,4,
名人戦,1997,55,羽生善治,谷川浩司,2,4,
名人戦,1996,54,羽生善治,森内俊之,4,1,
名人戦,1995,53,羽生善治,森下卓,4,1,
名人戦,1994,52,米長邦雄,羽生善治,2,4,
名人戦,1993,51,中原誠,米長邦雄,0,4,
名人戦,1992,50,中原誠,高橋道雄,4,3,
名人戦,1991,49,中原誠,米長邦雄,4,1,
名人戦,1990,48,谷川浩司,中原誠,2,4,
名人戦,1989,47,谷川浩司,米長邦雄,4,0,
名人戦,1988,46,中原誠,谷川浩司,2,4,
名人戦,1987,45,中原誠,米長邦雄,4,2,
名人戦,1986,44,中原誠,大山康晴,4,1,
名人戦,1985,43,谷川浩司,中原誠,2,4,
名人戦,1984,42,谷川浩司,森安秀光,4,1,
名人戦,1983,41,加藤一二三,谷川浩司,2,4,
名人戦,1982,40,中原誠,加藤一二三,3,4,1
名人戦,1981,39,中原誠,桐山清澄,4,1,
名人戦,1980,38,中原誠,米長邦雄,4,1,1
名人戦,1979,37,中原誠,米長邦雄,4,2,
名人戦,1978,36,中原誠,森雞二,4,2,
名人戦,1976,35,中原誠,米長邦雄,4,3,1
名人戦,1975,34,中原誠,大内延介,4,3,
名人戦,1974,33,中原誠,大山康晴,4,3,
名人戦,1973,32,中原誠,加藤一二三,4,0,
名人戦,1972,31,大山康晴,中原誠,3,4,
名人戦,1971,30,大山康晴,升田幸三,4,3,
名人戦,1970,29,大山康晴,灘蓮照,4,1,
名人戦,1969,28,大山康晴,有吉道夫,4,3,
名人戦,1968,27,大山康晴,升田幸三,4,0,
名人戦,1967,26,大山康晴,二上達也,4,1,
名人戦,1966,25,大山康晴,升田幸三,4,2,
名人戦,1965,24,大山康晴,山田道美,4,1,
名人戦,1964,23,大山康晴,二上達也,4,2,
名人戦,1963,22,大山康晴,升田幸三,4,1,
名人戦,1962,21,大山康晴,二上達也,4,0,
名人戦,1961,20,大山康晴,丸田祐三,4,1,
名人戦,1960,19,大山康晴,加藤一二三,4,1,
名人戦,1959,18,升田幸三,大山康晴,1,4,
名人戦,1958,17,升田幸三,大山康晴,4,2,1
名人戦,1957,16,大山康晴,升田幸三,2,4,
名人戦,1956,15,大山康晴,花村元司,4,0,
名人戦,1955,14,大山康晴,高島一岐代,4,2,
名人戦,1954,13,大山康晴,升田幸三,4,1,
名人戦,1953,12,大山康晴,升田幸三,4,1,
名人戦,1952,11,木村義雄,大山康晴,1,4,
名人戦,1951,10,木村義雄,升田幸三,4,2,
名人戦,1950,9,木村義雄,大山康晴,4,2,
名人戦,1949,8,塚田正夫,木村義雄,2,3,
名人戦,1948,7,塚田正夫,大山康晴,4,2,
名人戦,1947,6,木村義雄,塚田正夫,2,4,1
名人戦,1950,5,木村義雄,,,,
名人戦,1950,4,木村義雄,,,,
名人戦,1950,3,木村義雄,神田辰之助,4,0,
名人戦,1950,2,木村義雄,土居市太郎,4,1,
名人戦,1950,1,木村義雄,,,,
