match,years,period,holder,challenger,holder-score,challenger-score,draw
王位戦,2025,66,藤井聡太,永瀬拓矢,4,2,
王位戦,2024,65,藤井聡太,渡辺明,4,1,
王位戦,2023,64,藤井聡太,佐々木大地,4,1,
王位戦,2022,63,藤井聡太,豊島将之,4,1,
王位戦,2021,62,藤井聡太,豊島将之,4,1,
王位戦,2020,61,木村一基,藤井聡太,0,4,
王位戦,2019,60,豊島将之,木村一基,3,4,
王位戦,2018,59,菅井竜也,豊島将之,3,4,
王位戦,2017,58,羽生善治,菅井竜也,1,4,
王位戦,2016,57,羽生善治,木村一基,4,3,
王位戦,2015,56,羽生善治,広瀬章人,4,1,
王位戦,2014,55,羽生善治,木村一基,4,2,1
王位戦,2013,54,羽生善治,行方尚史,4,1,
王位戦,2012,53,羽生善治,藤井猛,4,1,
王位戦,2011,52,広瀬章人,羽生善治,3,4,
王位戦,2010,51,深浦康市,広瀬章人,2,4,
王位戦,2009,50,深浦康市,木村一基,4,3,
王位戦,2008,49,深浦康市,羽生善治,4,3,
王位戦,2007,48,羽生善治,深浦康市,3,4,
王位戦,2006,47,羽生善治,佐藤康光,4,2,
王位戦,2005,46,羽生善治,佐藤康光,4,3,
王位戦,2004,45,谷川浩司,羽生善治,1,4,
王位戦,2003,44,谷川浩司,羽生善治,1,4,
王位戦,2002,43,羽生善治,谷川浩司,4,1,
王位戦,2001,42,羽生善治,屋敷伸之,4,0,
王位戦,2000,41,羽生善治,谷川浩司,4,3,
王位戦,1999,40,羽生善治,谷川浩司,4,0,
王位戦,1998,39,羽生善治,佐藤康光,4,2,
王位戦,1997,38,羽生善治,佐藤康光,4,1,
王位戦,1996,37,羽生善治,深浦康市,4,1,
王位戦,1995,36,羽生善治,郷田真隆,4,2,
王位戦,1994,35,羽生善治,郷田真隆,4,3,
王位戦,1993,34,郷田真隆,羽生善治,0,4,
王位戦,1992,33,谷川浩司,郷田真隆,2,4,
王位戦,1991,32,谷川浩司,中田宏樹,4,2,
王位戦,1990,31,谷川浩司,佐藤康光,4,3,
王位戦,1989,30,森雞二,谷川浩司,1,4,
王位戦,1988,29,谷川浩司,森雞二,3,4,
王位戦,1987,28,高橋道雄,谷川浩司,1,4,
王位戦,1986,27,高橋道雄,米長邦雄,4,0,
王位戦,1985,26,加藤一二三,高橋道雄,0,4,
王位戦,1984,25,高橋道雄,加藤一二三,4,3,
王位戦,1983,24,内藤國雄,高橋道雄,2,4,
王位戦,1982,23,中原誠,内藤國雄,2,4,
王位戦,1981,22,中原誠,大山康晴,4,3,
王位戦,1980,21,米長邦雄,中原誠,0,4,
王位戦,1979,20,中原誠,米長邦雄,4,3,
王位戦,1978,19,中原誠,大山康晴,4,1,
王位戦,1977,18,中原誠,米長邦雄,4,2,
王位戦,1976,17,中原誠,勝浦修,4,2,
王位戦,1975,16,中原誠,内藤國雄,4,2,
王位戦,1974,15,中原誠,米長邦雄,4,2,
王位戦,1973,14,内藤國雄,中原誠,0,4,
王位戦,1972,13,大山康晴,内藤國雄,1,4,
王位戦,1971,12,大山康晴,中原誠,4,3,
王位戦,1970,11,大山康晴,米長邦雄,4,1,
王位戦,1969,10,大山康晴,西村一義,4,2,
王位戦,1968,9,大山康晴,有吉道夫,4,2,
王位戦,1967,8,大山康晴,大内延介,4,1,
王位戦,1966,7,大山康晴,有吉道夫,4,1,
王位戦,1965,6,大山康晴,佐藤大五郎,4,0,
王位戦,1964,5,大山康晴,二上達也,4,2,
王位戦,1963,4,大山康晴,加藤一二三,4,2,
王位戦,1962,3,大山康晴,花村元司,4,0,
王位戦,1961,2,大山康晴,丸田祐三,4,1,
王位戦,1960,1,大山康晴,塚田正夫,4,1,
