match,years,period,holder,challenger,holder-score,challenger-score,draw
王将戦,2025,75,,,0,0,
王将戦,2024,74,藤井聡太,永瀬拓矢,4,1,
王将戦,2023,73,藤井聡太,菅井竜也,4,0,
王将戦,2022,72,藤井聡太,羽生善治,4,2,
王将戦,2021,71,渡辺明,藤井聡太,0,4,
王将戦,2020,70,渡辺明,永瀬拓矢,4,2,
王将戦,2019,69,渡辺明,広瀬章人,4,3,
王将戦,2018,68,久保利明,渡辺明,0,4,
王将戦,2017,67,久保利明,豊島将之,4,2,
王将戦,2016,66,郷田真隆,久保利明,2,4,
王将戦,2015,65,郷田真隆,羽生善治,4,2,
王将戦,2014,64,渡辺明,郷田真隆,3,4,
王将戦,2013,63,渡辺明,羽生善治,4,3,
王将戦,2012,62,佐藤康光,渡辺明,1,4,
王将戦,2011,61,久保利明,佐藤康光,1,4,
王将戦,2010,60,久保利明,豊島将之,4,2,
王将戦,2009,59,羽生善治,久保利明,2,4,
王将戦,2008,58,羽生善治,深浦康市,4,3,
王将戦,2007,57,羽生善治,久保利明,4,1,
王将戦,2006,56,羽生善治,佐藤康光,4,3,
王将戦,2005,55,羽生善治,佐藤康光,4,3,
王将戦,2004,54,森内俊之,羽生善治,0,4,
王将戦,2003,53,羽生善治,森内俊之,2,4,
王将戦,2002,52,佐藤康光,羽生善治,0,4,
王将戦,2001,51,羽生善治,佐藤康光,2,4,
王将戦,2000,50,羽生善治,谷川浩司,4,1,
王将戦,1999,49,羽生善治,佐藤康光,4,0,
王将戦,1998,48,羽生善治,森下卓,4,1,
王将戦,1997,47,羽生善治,佐藤康光,4,1,
王将戦,1996,46,羽生善治,谷川浩司,4,0,
王将戦,1995,45,谷川浩司,羽生善治,0,4,
王将戦,1994,44,谷川浩司,羽生善治,4,3,
王将戦,1993,43,谷川浩司,中原誠,4,2,
王将戦,1992,42,谷川浩司,村山聖,4,0,
王将戦,1991,41,南芳一,谷川浩司,1,4,
王将戦,1990,40,米長邦雄,南芳一,2,4,
王将戦,1989,39,南芳一,米長邦雄,3,4,
王将戦,1988,38,南芳一,島朗,4,0,
王将戦,1987,37,中村修,南芳一,3,4,
王将戦,1986,36,中村修,中原誠,4,2,
王将戦,1985,35,中原誠,中村修,2,4,
王将戦,1984,34,米長邦雄,中原誠,1,4,
王将戦,1983,33,米長邦雄,森雞二,4,1,
王将戦,1982,32,大山康晴,米長邦雄,1,4,
王将戦,1981,31,大山康晴,中原誠,4,3,
王将戦,1980,30,大山康晴,米長邦雄,4,1,
王将戦,1979,29,加藤一二三,大山康晴,2,4,
王将戦,1978,28,中原誠,加藤一二三,1,4,
王将戦,1977,27,中原誠,有吉道夫,4,2,
王将戦,1976,26,中原誠,大山康晴,4,2,
王将戦,1975,25,中原誠,有吉道夫,4,1,
王将戦,1974,24,中原誠,米長邦雄,4,3,
王将戦,1973,23,大山康晴,米長邦雄,2,4,
王将戦,1972,22,大山康晴,中原誠,4,0,
王将戦,1971,21,大山康晴,有吉道夫,4,3,
王将戦,1970,20,大山康晴,中原誠,4,3,
王将戦,1969,19,大山康晴,二上達也,4,1,
王将戦,1968,18,大山康晴,内藤國雄,4,0,
王将戦,1967,17,大山康晴,加藤一二三,4,2,
王将戦,1966,16,大山康晴,山田道美,4,1,
王将戦,1965,15,大山康晴,加藤一二三,4,3,
王将戦,1964,14,大山康晴,加藤博二,4,1,
王将戦,1963,13,二上達也,大山康晴,0,3,
王将戦,1962,12,大山康晴,丸田祐三,4,2,
王将戦,1961,11,大山康晴,加藤一二三,3,0,
王将戦,1960,10,大山康晴,二上達也,4,2,
王将戦,1959,9,大山康晴,二上達也,4,2,
王将戦,1958,8,大山康晴,高島一岐代,3,0,
王将戦,1957,7,升田幸三,大山康晴,3,4,
王将戦,1956,6,升田幸三,大山康晴,2,4,
王将戦,1955,5,大山康晴,升田幸三,3,0,
王将戦,1954,4,大山康晴,松田茂役,4,1,
王将戦,1953,3,大山康晴,升田幸三,4,2,
王将戦,1952,2,大山康晴,丸田祐三,4,3,
王将戦,1951,1,升田幸三,木村義雄,4,1,
王将戦,1950,1,,丸田祐三,5,2,
