match,years,period,holder,challenger,holder-score,challenger-score,draw
王座戦,2025,73,藤井聡太,伊藤匠,2,3,
王座戦,2024,72,藤井聡太,永瀬拓矢,3,0,
王座戦,2023,71,永瀬拓矢,藤井聡太,1,3,
王座戦,2022,70,永瀬拓矢,豊島将之,3,1,
王座戦,2021,69,永瀬拓矢,木村一基,3,1,
王座戦,2020,68,永瀬拓矢,久保利明,3,2,
王座戦,2019,67,斎藤慎太郎,永瀬拓矢,0,3,
王座戦,2018,66,中村太地,斎藤慎太郎,2,3,
王座戦,2017,65,羽生善治,中村太地,1,3,
王座戦,2016,64,羽生善治,糸谷哲郎,3,0,
王座戦,2015,63,羽生善治,佐藤天彦,3,2,
王座戦,2014,62,羽生善治,豊島将之,3,2,
王座戦,2013,61,羽生善治,中村太地,3,2,
王座戦,2012,60,渡辺明,羽生善治,1,3,
王座戦,2011,59,羽生善治,渡辺明,0,3,
王座戦,2010,58,羽生善治,藤井猛,3,0,
王座戦,2009,57,羽生善治,山崎隆之,3,0,
王座戦,2008,56,羽生善治,木村一基,3,0,
王座戦,2007,55,羽生善治,久保利明,3,0,
王座戦,2006,54,羽生善治,佐藤康光,3,0,
王座戦,2005,53,羽生善治,佐藤康光,3,0,
王座戦,2004,52,羽生善治,森内俊之,3,1,
王座戦,2003,51,羽生善治,渡辺明,3,2,
王座戦,2002,50,羽生善治,佐藤康光,3,0,
王座戦,2001,49,羽生善治,久保利明,3,1,
王座戦,2000,48,羽生善治,藤井猛,3,2,
王座戦,1999,47,羽生善治,丸山忠久,3,1,
王座戦,1998,46,羽生善治,谷川浩司,3,2,
王座戦,1997,45,羽生善治,島朗,3,0,
王座戦,1996,44,羽生善治,島朗,3,0,
王座戦,1995,43,羽生善治,森雞二,3,0,
王座戦,1994,42,羽生善治,谷川浩司,3,0,
王座戦,1993,41,羽生善治,谷川浩司,3,1,
王座戦,1992,40,福崎文吾,羽生善治,0,3,
王座戦,1991,39,谷川浩司,福崎文吾,2,3,
王座戦,1990,38,中原誠,谷川浩司,1,3,
王座戦,1989,37,中原誠,青野照市,3,2,
王座戦,1988,36,塚田泰明,中原誠,0,3,
王座戦,1987,35,中原誠,塚田泰明,2,3,
王座戦,1986,34,中原誠,桐山清澄,3,0,
王座戦,1985,33,中原誠,谷川浩司,3,1,
王座戦,1984,32,中原誠,森安秀光,3,2,
王座戦,1983,31,内藤國雄,中原誠,1,2,
