match,years,period,holder,challenger,holder-score,challenger-score,draw
竜王戦,2025,38,藤井聡太,佐々木勇気,4,0,
竜王戦,2024,37,藤井聡太,佐々木勇気,4,2,
竜王戦,2023,36,藤井聡太,伊藤匠,4,0,
竜王戦,2022,35,藤井聡太,広瀬章人,4,2,
竜王戦,2021,34,豊島将之,藤井聡太,0,4,
竜王戦,2020,33,豊島将之,羽生善治,4,1,
竜王戦,2019,32,広瀬章人,豊島将之,1,4,
竜王戦,2018,31,羽生善治,広瀬章人,3,4,
竜王戦,2017,30,渡辺明,羽生善治,1,4,
竜王戦,2016,29,渡辺明,丸山忠久,4,3,
竜王戦,2015,28,糸谷哲郎,渡辺明,1,4,
竜王戦,2014,27,森内俊之,糸谷哲郎,1,4,
竜王戦,2013,26,渡辺明,森内俊之,1,4,
竜王戦,2012,25,渡辺明,丸山忠久,4,1,
竜王戦,2011,24,渡辺明,丸山忠久,4,1,
竜王戦,2010,23,渡辺明,羽生善治,4,2,
竜王戦,2009,22,渡辺明,森内俊之,4,0,
竜王戦,2008,21,渡辺明,羽生善治,4,3,
竜王戦,2007,20,渡辺明,佐藤康光,4,2,
竜王戦,2006,19,渡辺明,佐藤康光,4,3,
竜王戦,2005,18,渡辺明,木村一基,4,0,
竜王戦,2004,17,森内俊之,渡辺明,3,4,
竜王戦,2003,16,羽生善治,森内俊之,0,4,
竜王戦,2002,15,羽生善治,阿部隆,4,3,
竜王戦,2001,14,藤井猛,羽生善治,1,4,
竜王戦,2000,13,藤井猛,羽生善治,4,3,
竜王戦,1999,12,藤井猛,鈴木大介,4,1,
竜王戦,1998,11,谷川浩司,藤井猛,0,4,
竜王戦,1997,10,谷川浩司,真田圭一,4,0,
竜王戦,1996,9,羽生善治,谷川浩司,1,4,
竜王戦,1995,8,羽生善治,佐藤康光,4,2,
竜王戦,1994,7,佐藤康光,羽生善治,2,4,
竜王戦,1993,6,羽生善治,佐藤康光,2,4,
竜王戦,1992,5,谷川浩司,羽生善治,3,4,
竜王戦,1991,4,谷川浩司,森下卓,4,2,1
竜王戦,1990,3,羽生善治,谷川浩司,1,4,
竜王戦,1989,2,島朗,羽生善治,3,4,1
竜王戦,1988,1,島朗,米長邦雄,4,0,
