match,years,period,winner,runner-up,winner-score,runner-score
朝日杯,2025,19,,,0,0
朝日杯,2024,18,近藤誠也,井田明宏,1,0
朝日杯,2023,17,永瀬拓矢,藤井聡太,1,0
朝日杯,2022,16,藤井聡太,渡辺明,1,0
朝日杯,2021,15,菅井竜也,稲葉陽,1,0
朝日杯,2020,14,藤井聡太,三浦弘行,1,0
朝日杯,2019,13,千田翔太,永瀬拓矢,1,0
朝日杯,2018,12,藤井聡太,渡辺明,1,0
朝日杯,2017,11,藤井聡太,広瀬章人,1,0
朝日杯,2016,10,八代弥,村山慈明,1,0
朝日杯,2015,9,羽生善治,森内俊之,1,0
朝日杯,2014,8,羽生善治,渡辺明,1,0
朝日杯,2013,7,羽生善治,渡辺明,1,0
朝日杯,2012,6,渡辺明,菅井竜也,1,0
朝日杯,2011,5,羽生善治,広瀬章人,1,0
朝日杯,2010,4,木村一基,羽生善治,1,0
朝日杯,2009,3,羽生善治,久保利明,1,0
朝日杯,2008,2,阿久津主税,久保利明,1,0
朝日杯,2007,1,行方尚史,丸山忠久,1,0
