match,years,period,winner,runner-up,winner-score,runner-score
銀河戦,2025,33,,,0,0
銀河戦,2024,32,丸山忠久,藤井聡太,1,0
銀河戦,2023,31,丸山忠久,藤井聡太,1,0
銀河戦,2022,30,藤井聡太,高見泰地,1,0
銀河戦,2021,29,菅井竜也,渡辺明,1,0
銀河戦,2020,28,藤井聡太,糸谷哲郎,1,0
銀河戦,2019,27,豊島将之,渡辺明,1,0
銀河戦,2018,26,佐藤天彦,行方尚史,1,0
銀河戦,2017,25,久保利明,羽生善治,1,0
銀河戦,2016,24,藤井猛,広瀬章人,1,0
銀河戦,2015,23,深浦康市,佐藤天彦,1,0
銀河戦,2014,22,渡辺明,松尾歩,1,0
銀河戦,2013,21,稲葉陽,橋本崇載,1,0
銀河戦,2012,20,羽生善治,阿久津主税,1,0
銀河戦,2011,19,渡辺明,糸谷哲郎,1,0
銀河戦,2010,18,佐藤康光,丸山忠久,1,0
銀河戦,2009,17,阿久津主税,深浦康市,1,0
銀河戦,2008,16,佐藤康光,三浦弘行,1,0
銀河戦,2007,15,渡辺明,森内俊之,1,0
銀河戦,2006,14,羽生善治,小林裕士,1,0
銀河戦,2005,13,渡辺明,森内俊之,1,0
銀河戦,2004,12,羽生善治,谷川浩司,1,0
銀河戦,2003,11,佐藤康光,中川大輔,1,0
銀河戦,2002,10,谷川浩司,羽生善治,1,0
銀河戦,2001,9,羽生善治,深浦康市,1,0
銀河戦,2000,8,羽生善治,堀口一史座,1,0
