match,years,period,winner,runner-up,winner-score,runner-score
JT杯,2025,46,藤井聡太,永瀬拓矢,1,0
JT杯,2024,45,渡辺明,広瀬章人,1,0
JT杯,2023,44,藤井聡太,糸谷哲郎,1,0
JT杯,2022,43,藤井聡太,斎藤慎太郎,1,0
JT杯,2021,42,豊島将之,藤井聡太,1,0
JT杯,2020,41,豊島将之,永瀬拓矢,1,0
JT杯,2019,40,渡辺明,広瀬章人,1,0
JT杯,2018,39,渡辺明,菅井竜也,1,0
JT杯,2017,38,山崎隆之,豊島将之,1,0
JT杯,2016,37,豊島将之,佐藤天彦,1,0
JT杯,2015,36,三浦弘行,深浦康市,1,0
JT杯,2014,35,渡辺明,羽生善治,1,0
JT杯,2013,34,久保利明,羽生善治,1,0
JT杯,2012,33,久保利明,羽生善治,1,0
JT杯,2011,32,羽生善治,渡辺明,1,0
JT杯,2010,31,羽生善治,山崎隆之,1,0
JT杯,2009,30,谷川浩司,深浦康市,1,0
JT杯,2008,29,森下卓,深浦康市,1,0
JT杯,2007,28,森下卓,森内俊之,1,0
JT杯,2006,27,佐藤康光,郷田真隆,1,0
JT杯,2005,26,藤井猛,郷田真隆,1,0
JT杯,2004,25,佐藤康光,久保利明,1,0
JT杯,2003,24,羽生善治,久保利明,1,0
JT杯,2002,23,藤井猛,丸山忠久,1,0
JT杯,2001,22,丸山忠久,羽生善治,1,0
JT杯,2000,21,森内俊之,谷川浩司,1,0
JT杯,1999,20,丸山忠久,羽生善治,1,0
JT杯,1998,19,羽生善治,佐藤康光,1,0
JT杯,1997,18,谷川浩司,森内俊之,1,0
JT杯,1996,17,谷川浩司,村山聖,1,0
JT杯,1995,16,郷田真隆,米長邦雄,1,0
JT杯,1994,15,郷田真隆,米長邦雄,1,0
JT杯,1993,14,郷田真隆,谷川浩司,1,0
JT杯,1992,13,谷川浩司,南芳一,1,0
JT杯,1991,12,羽生善治,有吉道夫,1,0
JT杯,1990,11,谷川浩司,中原誠,1,0
JT杯,1989,10,谷川浩司,島朗,1,0
JT杯,1988,9,高橋道雄,加藤一二三,1,0
JT杯,1987,8,加藤一二三,大山康晴,1,0
JT杯,1986,7,米長邦雄,谷川浩司,1,0
JT杯,1985,6,森安秀光,谷川浩司,1,0
JT杯,1984,5,米長邦雄,谷川浩司,1,0
JT杯,1983,4,加藤一二三,米長邦雄,1,0
JT杯,1982,3,大山康晴,中原誠,1,0
JT杯,1981,2,中原誠,大山康晴,1,0
JT杯,1980,1,米長邦雄,加藤一二三,1,0
