match,years,period,winner,runner-up,winner-score,runner-score
NHK杯,2024,74,藤井聡太,郷田真隆,1,0
NHK杯,2023,73,佐々木勇気,藤井聡太,1,0
NHK杯,2022,72,藤井聡太,佐々木勇気,1,0
NHK杯,2021,71,豊島将之,松尾歩,1,0
NHK杯,2020,70,稲葉陽,斎藤慎太郎,1,0
NHK杯,2019,69,深浦康市,稲葉陽,1,0
NHK杯,2018,68,羽生善治,郷田真隆,1,0
NHK杯,2017,67,山崎隆之,稲葉陽,1,0
NHK杯,2016,66,佐藤康光,佐藤和俊,1,0
NHK杯,2015,65,村山慈明,千田翔太,1,0
NHK杯,2014,64,森内俊之,行方尚史,1,0
NHK杯,2013,63,郷田真隆,丸山忠久,1,0
NHK杯,2012,62,渡辺明,羽生善治,1,0
NHK杯,2011,61,羽生善治,渡辺明,1,0
NHK杯,2010,60,羽生善治,糸谷哲郎,1,0
NHK杯,2009,59,羽生善治,糸谷哲郎,1,0
NHK杯,2008,58,羽生善治,森内俊之,1,0
NHK杯,2007,57,佐藤康光,鈴木大介,1,0
NHK杯,2006,56,佐藤康光,森内俊之,1,0
NHK杯,2005,55,丸山忠久,渡辺明,1,0
NHK杯,2004,54,山崎隆之,羽生善治,1,0
NHK杯,2003,53,久保利明,羽生善治,1,0
NHK杯,2002,52,三浦弘行,先崎学,1,0
NHK杯,2001,51,森内俊之,佐藤康光,1,0
NHK杯,2000,50,羽生善治,久保利明,1,0
NHK杯,1999,49,鈴木大介,郷田真隆,1,0
NHK杯,1998,48,羽生善治,堀口一史座,1,0
NHK杯,1997,47,羽生善治,村山聖,1,0
NHK杯,1996,46,森内俊之,屋敷伸之,1,0
NHK杯,1995,45,羽生善治,中川大輔,1,0
NHK杯,1994,44,中原誠,米長邦雄,1,0
NHK杯,1993,43,加藤一二三,佐藤康光,1,0
NHK杯,1992,42,中原誠,島朗,1,0
NHK杯,1991,41,羽生善治,塚田泰明,1,0
NHK杯,1990,40,先崎学,南芳一,1,0
NHK杯,1989,39,櫛田陽一,島朗,1,0
NHK杯,1988,38,羽生善治,中原誠,1,0
NHK杯,1987,37,中原誠,中村修,1,0
NHK杯,1986,36,前田祐司,森けい二,1,0
NHK杯,1985,35,谷川浩司,内藤國雄,1,0
NHK杯,1984,34,田中寅彦,加藤一二三,1,0
NHK杯,1983,33,大山康晴,加藤一二三,1,0
NHK杯,1982,32,中原誠,青野照市,1,0
NHK杯,1981,31,加藤一二三,伊藤果,1,0
NHK杯,1980,30,有吉道夫,中原誠,1,0
NHK杯,1979,29,大山康晴,森けい二,1,0
NHK杯,1978,28,米長邦雄,真部一男,1,0
NHK杯,1977,27,中原誠,加藤一二三,1,0
NHK杯,1976,26,加藤一二三,米長邦雄,1,0
NHK杯,1975,25,大内延介,二上達也,1,0
NHK杯,1974,24,中原誠,内藤國雄,1,0
NHK杯,1973,23,加藤一二三,内藤國雄,1,0
NHK杯,1972,22,大山康晴,米長邦雄,1,0
NHK杯,1971,21,加藤一二三,大内延介,1,0
NHK杯,1970,20,大山康晴,中原誠,1,0
NHK杯,1969,19,内藤國雄,関根茂,1,0
NHK杯,1968,18,丸田祐三,山田道美,1,0
NHK杯,1967,17,大友昇,二上達也,1,0
NHK杯,1966,16,加藤一二三,二上達也,1,0
NHK杯,1965,15,丸田祐三,升田幸三,1,0
NHK杯,1964,14,大山康晴,塚田正夫,1,0
NHK杯,1963,13,升田幸三,加藤一二三,1,0
NHK杯,1962,12,灘蓮照,升田幸三,1,0
NHK杯,1961,11,大山康晴,加藤博二,1,0
NHK杯,1960,10,加藤一二三,大山康晴,1,0
NHK杯,1959,9,丸田祐三,大野源一,1,0
NHK杯,1958,8,灘蓮照,大山康晴,1,0
NHK杯,1957,7,升田幸三,灘蓮照,1,0
NHK杯,1956,6,原田泰夫,灘蓮照,1,0
NHK杯,1955,5,大山康晴,灘蓮照,1,0
NHK杯,1954,4,大山康晴,塚田正夫,1,0
NHK杯,1953,3,塚田正夫,花村元司,1,0
NHK杯,1952,2,升田幸三,丸田祐三,1,0
NHK杯,1951,1,木村義雄,升田幸三,1,0
