match,years,period,winner,runner-up,winner-score,runner-score
新人王戦,2025,56,服部慎一郎,斎藤明日斗,2,1
新人王戦,2024,55,服部慎一郎,高田明浩,2,0
新人王戦,2023,54,上野裕寿,藤本渚,2,1
新人王戦,2022,53,服部慎一郎,黒田尭之,2,1
新人王戦,2021,52,伊藤匠,古賀悠聖,2,0
新人王戦,2020,51,池永天志,齊藤優希,2,0
新人王戦,2019,50,高野智史,増田康宏,2,1
新人王戦,2018,49,藤井聡太,出口若武,2,0
新人王戦,2017,48,増田康宏,佐々木大地,2,0
新人王戦,2016,47,増田康宏,石田直裕,2,0
新人王戦,2015,46,菅井竜也,大橋貴洸,2,1
新人王戦,2014,45,阿部光瑠,佐々木勇気,2,1
新人王戦,2013,44,都成竜馬,藤森哲也,2,1
新人王戦,2012,43,永瀬拓矢,藤森哲也,2,1
新人王戦,2011,42,佐藤天彦,豊島将之,2,1
新人王戦,2010,41,阿部健治郎,加来博洋,2,1
新人王戦,2009,40,広瀬章人,中村太地,2,0
新人王戦,2008,39,佐藤天彦,星野良生,2,0
新人王戦,2007,38,村山慈明,中村亮介,2,0
新人王戦,2006,37,糸谷哲郎,横山泰明,2,0
新人王戦,2005,36,渡辺明,千葉幸生,2,0
新人王戦,2004,35,山崎隆之,佐藤紳哉,2,1
新人王戦,2003,34,田村康介,行方尚史,2,1
新人王戦,2002,33,木村一基,鈴木大介,2,1
新人王戦,2001,32,松尾歩,木村一基,2,0
新人王戦,2000,31,山崎隆之,北浜健介,2,1
新人王戦,1999,30,藤井猛,堀口一史座,2,0
新人王戦,1998,29,三浦弘行,畠山成幸,2,0
新人王戦,1997,28,藤井猛,畠山鎮,2,0
新人王戦,1996,27,藤井猛,丸山忠久,2,1
新人王戦,1995,26,丸山忠久,深浦康市,2,1
新人王戦,1994,25,丸山忠久,郷田真隆,2,0
新人王戦,1993,24,森内俊之,佐藤康光,2,1
新人王戦,1992,23,佐藤秀司,石飛英二,2,0
新人王戦,1991,22,森内俊之,森下卓,2,0
新人王戦,1990,21,森下卓,大野八一雄,2,0
新人王戦,1989,20,日浦市郎,中川大輔,2,0
新人王戦,1988,19,羽生善治,森内俊之,2,0
新人王戦,1987,18,森内俊之,飯田弘之,2,0
新人王戦,1986,17,塚田泰明,脇謙二,2,0
新人王戦,1985,16,井上慶太,森下卓,2,1
新人王戦,1984,15,小野修一,中村修,2,0
新人王戦,1983,14,中村修,宮田利男,2,0
新人王戦,1982,13,小野修一,島朗,2,0
新人王戦,1981,12,田中寅彦,伊藤果,2,0
新人王戦,1980,11,森信雄,島朗,2,0
新人王戦,1979,10,青野照市,坪内利幸,2,0
新人王戦,1978,9,小阪昇,森安秀光,2,1
新人王戦,1977,8,森安秀光,真部一男,2,0
新人王戦,1976,7,石田和雄,森安秀光,2,0
新人王戦,1975,6,森安秀光,桜井昇,2,0
新人王戦,1974,5,青野照市,吉田利勝,2,0
新人王戦,1973,4,森安秀光,勝浦修,2,1
新人王戦,1972,3,石田和雄,桐山清澄,2,1
新人王戦,1971,2,若松政和,森安秀光,2,0
新人王戦,1970,1,山口英夫,橋本三治,2,0
